textquestion,lettera,textchoicea,letterb,textchoiceb,letterc,textchoicec,textcorrect,imagequestion,imagechoicea,imagechoiceb,imagechoicec,imagecorrect
The boat King Julien presents to the other lemurs isn’t really a boat. What is it? ,a. ,a toilet,b. ,a shoebox,c. ,a bike helmet,a,Which character makes the tree fall over so everyone has to run? ,mort.png,xixi.png,maurice.png,a
Why is King Julien sad when he learns how the other lemurs feel about him? ,a. ,the lemurs liked his dad better,b. ,one lemur in the kingdom doesn't like him,c. ,all the lemurs think he's doing a bad job,b,Which of these characters protects King Julien and tries to solve the case of who doesn’t like him?,willie.png,clover.png,maurice.png,b
What does Maurice use to count the people who don’t like King Julien? ,a. ,rocks on a shelf,b. ,markings on the wall,c. ,fruit on a stick,c,Which of these characters is always telling King Julien they love him?,clover.png,maurice.png,mort.png,c
Why does King Julien call in the lizard when the toucan won't tell him which lemur doesn't like him?,a. ,so the lizard will read the toucan's mind,b. ,so the lizard will scare the toucan into telling him,c. ,so the lizard will hypnotize the toucan,a,Which of these characters can read minds and tell the future? ,masikura.png,xixi.png,hector.png,a
"When Maurice asks the small group of lemurs if they like King Julien, why do they all leave?",a. ,They catch King Julien spying on them,b. ,King Julien comes to the meeting wearing a disguise,c. ,They don't want to hurt Maurice's feelings,b,Which of these characters reports the news? ,willie.png,xixi.png,masikura.png,b
What makes Hector mad when King Julien goes to visit him?,a. ,King Julien knocks over his tower of matches,b. ,King Julien doesn't bring him a present,c. ,King Julien blows up his house,c,Which of these characters tries to keep King Julien out of trouble and tells him what to do? ,clover.png,mort.png,maurice.png,c
What happens to Clover when she gets angry or excited? ,a. ,Fire glows in her eyes,b. ,Steam comes out of her ears,c. ,Her fur turns bright green,a,Which of these characters gets put in charge of the navy/ship at the beginning? ,willie.png,hector.png,mort.png,a
What is the first way King Julien tries to get all the lemurs to like him again?,a. ,Performing a play for them,b. ,Kissing their babies,c. ,Giving them shields to fight the Foosa,b,Which of these characters is the one King Julien suspects doesn’t like him?,xixi.png,hector.png,willie.png,b
What is the second way King Julien tries to get all the lemurs to like him again? ,a. ,Planting new trees ,b. ,Building them a movie theater,c. ,Giving away free mangoes,c,In which of these places does King Julien live?,boat.png,tree.png,airplane.png,c
What ends up making all the lemurs like King Julien at the end?,a. ,He saves a baby from a falling tree,b. ,He rescues another lemur from the ocean,c. ,He puts out a fire at someone's house,a,Which of these does King Julien talk to when he's making his plan and no one is around?,flower.png,skeleton.png,lemur.png,b
