type,image1,image1cat,image1order,image1caption,image2,image2cat,image2order,image2caption,correct
bw,Boundary9b.png,b,37,King Julien enters Hector's house and sees a tower of matches,Within1a.png,w,2,Maurice gets on stage in front of all the lemurs in the kingdom,2
ww,Within17a.png,w,66,Everyone finds Clover asleep on her investigation boards,Within9a.png,w,34,King Julien shows up at the lemur interview in a fake moustache,2
bw,Within4a.png,w,14,Gigi tells King Julien the news for the day,Boundary18b.png,b,73,King Julien runs out of mangoes to give away,1
ww,Within15b.png,w,59,King Julien asks the skeleton if there is anyone who doesn't like mangoes,Within18a.png,w,70,Hector gets a free mango,1
bb,Boundary2b.png,b,9,King Julien shows all the lemurs the new toilet boat,Boundary1b.png,b,5,Clover takes a message on her pretend earphone,2
ww,Within3b.png,w,11,King Julien talks about how great the new toilet boat is,Within7b.png,w,27,King Julien almost hits Gigi with Masikura the lizard's tongue,1
bw,Within13a.png,w,50,King Julien tells the lemurs he's there to kiss their babies,Boundary11a.png,b,44,King Julien learns his ratings are worse after blowing up Hector's house ,2
bb,Boundary7a.png,b,28,Clover tells King Julien he's safe but asks for a meeting with him,Boundary9a.png,b,36,Clover sets up the boards and papers for her investigation,1
ww,Within1b.png,w,3,Maurice gives a speech about the new King Julien,Within6b.png,w,23,King Julien begs Gigi to tell him who his hater is,1
bw,Within10a.png,w,38,Hector tells King Julien he's fine and tries to get him to leave,Boundary2a.png,b,8,King Julien pulls down the curtain in front of the new boat,2
ww,Within19b.png,w,75,King Julien saves a baby from the falling tree,Within18b.png,w,71,King Julien throws a mango for Mort to catch,2
bw,BoundaryEnd.png,b,80,Clover is mad King Julien doesn't care about her investigation anymore,Within19a.png,w,74,Gigi realizes the tree is about to fall down,2
bb,Boundary4b.png,b,17,Maurice says making it illegal to not like King Julien is a bad idea,Boundary11b.png,b,45,King Julien is sad his ratings are getting worse instead of better,1
bb,Boundary5b.png,b,21,King Julien cries that having a hater is the worst thing ever,Boundary3a.png,b,12,Willie is pushed off to sea on the toilet boat,2
bw,Boundary6b.png,b,25,Julien calls Masikura to read Gigi's mind,Within11b.png,w,43,Looking for kumquats taken off after Hector's house blows up,1
ww,Within4b.png,w,15,King Julien finds out only 99% of the lemurs like him,Within2a.png,w,6,Julien is announced as the new king,2
bw,Boundary12b.png,b,49,King Julien announces he will be kissing all the babies,Within17b.png,w,67,Everyone thinks Clover has figured out who the hater is,1
bb,Boundary18a.png,b,72,Willie gets a free mango,Boundary8b.png,b,33,Maurice interviews a group of lemurs,2
ww,Within15a.png,w,58,King Julien says how much everyone liked him when he was little,Within14a.png,w,54,Feeling sick from eating kumquats after King Julien kisses the babies,2
ww,Within3a.png,w,10,King Julien hits a soda bottle on the toilet boat,Within9b.png,w,35,King Julien tries to trick the lemurs into telling him about himself ,1
bb,Boundary6a.png,b,24,King Julien pretends he doesn't care about the hater,Boundary10a.png,b,40,King Julien blows up Hector's house,1
bw,Within7a.png,w,26,King Julien grabs Masikura the lizard to try to hit Gigi with her tongue,Boundary14a.png,b,56,King Julien only gets joy anymore from the lemur eating the kumquats,1
ww,Within5a.png,w,18,Clover says the one hater could be the start of a revolution,Within10b.png,w,39,King Julien is excited because he thinks he knows Hector is his hater,1
bb,Boundary14b.png,b,57,King Julien is alone in his plane at night after the baby kissing event,Boundary13b.png,b,53,Eating kumquats after King Julien's bad ratings from baby kissing,2
bb,Boundary1a.png,b,4,Clover walks into the crowd as Julien is announced king,Boundary16b.png,b,65,King Julien explains his idea to give away free mangoes,1
ww,Within12a.png,w,46,"Clover says Hector isn't the hater, but she thinks there's a conspiracy",Within8a.png,w,30,Maurice and Clover argue about the best way to find the hater,2
ww,Within6a.png,w,22,Maurice creates the kumquat-o-meter with the fruit on the stick,Within20a.png,w,78,King Julien says he learned his lesson now that everyone likes him,1
bw,Within14b.png,w,55,Maurice asks King Julien why the lemur has to eat all the kumquats,Boundary17a.png,b,68,Clover tries to jump out the window to finish her investigation,1
bb,Boundary7b.png,b,29,Clover tells King Julien she thinks there is a conspiracy,Boundary4a.png,b,16,Clover tells King Julien to make it illegal not to like him,2
